Suburb,BuildingArea,Latitude,Longitude
Pascoe Vale,132.0,-37.7337,144.9458
Coburg North,98.0,-37.7305,144.9803
Ascot Vale,129.0,-37.78329,144.91842
North Melbourne,96.0,-37.8009,144.9471
Truganina,170.0,-37.8458,144.7455
Ivanhoe,113.0,-37.7651,145.03452
Brunswick West,169.0,-37.7747,144.9474
Ashwood,198.0,-37.8614,145.1098
Moorabbin,171.0,-37.9362,145.0442
Footscray,238.0,-37.79363,144.89427
Glen Iris,160.0,-37.858,145.0859
Pascoe Vale,94.0,-37.7196,144.9485
Spotswood,131.0,-37.8282,144.8856
Keilor East,105.0,-37.7305,144.8646
Seddon,75.0,-37.80389,144.88711
Pascoe Vale,35.0,-37.7237,144.92232
East Melbourne,92.0,-37.8161,144.98494
Oak Park,113.0,-37.722,144.9169
Carnegie,33.0,-37.8888,145.0533
Richmond,54.0,-37.8118,144.9937
Brunswick,177.0,-37.75967,144.97214
Bentleigh East,167.0,-37.91291,145.05996
Springvale,134.0,-37.94282,145.15888
Hawthorn,52.0,-37.8177,145.0424
Williamstown,204.0,-37.8571,144.8767
Viewbank,172.0,-37.7297,145.0946
Wantirna South,153.0,-37.88009,145.22736
Coburg North,150.0,-37.72631,144.96274
Hillside,244.0,-37.68359,144.74067
Brighton East,228.0,-37.9199,145.0174
Maidstone,131.0,-37.78947,144.88105
Epping,224.0,-37.63291,145.03706
Eltham,200.0,-37.7146,145.14124
Seddon,199.0,-37.80898,144.88701
Sunshine West,134.0,-37.79498,144.79227
Dandenong North,170.0,-37.94059,145.20472
Thornbury,117.0,-37.7639,145.0135
Brunswick,88.0,-37.7723,144.9643
Bentleigh East,141.0,-37.9168,145.069
Mill Park,104.0,-37.65623,145.07431
Mount Waverley,153.0,-37.87754,145.12076
Camberwell,116.0,-37.8405,145.0924
Glen Iris,73.0,-37.85724,145.04681
Carlton North,162.0,-37.7804,144.9748
Moonee Ponds,95.0,-37.7663,144.9098
Mulgrave,152.0,-37.92092,145.17123
Keilor East,115.0,-37.73129,144.86556
Ringwood,95.0,-37.82223,145.22504
Ashwood,86.0,-37.8683,145.1082
Williamstown,250.0,-37.8576,144.8992
Camberwell,223.0,-37.84689,145.05863
Viewbank,183.0,-37.7322,145.0995
Braybrook,74.0,-37.78341,144.85574
Thornbury,151.0,-37.75937,145.01534
Hawthorn East,78.0,-37.839,145.0459
Hampton,260.0,-37.9407,145.0104
Port Melbourne,74.0,-37.8424,144.9449
Camberwell,105.0,-37.8459,145.0644
Newport,134.0,-37.84589,144.8768
Albert Park,180.0,-37.8447,144.9523
Fitzroy North,80.0,-37.78852,144.97872
Coburg,109.0,-37.7416,144.9582
Fawkner,121.0,-37.6907,144.9613
Williamstown,178.0,-37.86159,144.89926
Richmond,171.0,-37.82394,145.00044
Brighton East,274.0,-37.9187,145.0187
Yarraville,132.0,-37.8224,144.8818
Ascot Vale,109.0,-37.7748,144.929
Yarraville,96.0,-37.8117,144.8873
Fawkner,107.0,-37.7071,144.9666
Flemington,110.0,-37.7844,144.9359
Flemington,140.0,-37.7824,144.9243
Braybrook,145.0,-37.7865,144.8605
Bundoora,261.0,-37.68155,145.04945
Fitzroy North,145.0,-37.7912,144.9825
Brunswick,86.0,-37.762,144.9547
Box Hill,195.0,-37.8247,145.1281
Thornbury,80.0,-37.7527,144.9922
Murrumbeena,92.0,-37.8894,145.0679
Flemington,82.0,-37.7839,144.92727
Balwyn North,144.0,-37.7893,145.092
Carlton,139.0,-37.7966,144.9709
Essendon,67.0,-37.75122,144.91805
Vermont,192.0,-37.83459,145.21264
Box Hill,235.0,-37.8244,145.1319
Croydon,200.0,-37.79189,145.29661
Coburg,125.0,-37.735,144.9581
Sunshine West,148.0,-37.7836,144.7988
Kew East,192.0,-37.79172,145.05863
Hawthorn,50.0,-37.8128,145.0171
Williamstown,164.0,-37.85759,144.87952
Williamstown,155.0,-37.86217,144.89765
Doncaster,176.0,-37.794,145.1178
Bentleigh East,205.0,-37.9197,145.057
Preston,97.0,-37.7373,145.0237
Hampton East,140.0,-37.9431,145.0267
Port Melbourne,135.0,-37.8395,144.9343
Greenvale,198.0,-37.64959,144.90648
Kensington,212.0,-37.7956,144.93419
Croydon,257.0,-37.77749,145.29973
Parkdale,109.0,-37.99628,145.09102
Sunshine West,120.0,-37.7843,144.8052
Moonee Ponds,160.0,-37.7699,144.9149
Carlton North,148.0,-37.7879,144.9736
Lalor,116.0,-37.6648,145.00826
Glenroy,132.0,-37.7017,144.9282
Footscray,75.0,-37.8042,144.9049
Brunswick,75.0,-37.76685,144.96615
Thornbury,66.0,-37.761,145.0055
Coburg North,253.0,-37.73108,144.98351
West Footscray,44.0,-37.7993,144.8794
Moonee Ponds,115.0,-37.7672,144.9209
Bayswater,99.0,-37.852,145.2678
Cheltenham,169.0,-37.97223,145.07895
Bentleigh East,150.0,-37.9223,145.0747
Moonee Ponds,203.0,-37.7609,144.905
Essendon,145.0,-37.7439,144.9195
Roxburgh Park,170.0,-37.62988,144.93295
Caulfield North,85.0,-37.8607,145.0116
Doncaster,125.0,-37.79365,145.13721
Ashburton,228.0,-37.8742,145.07
Watsonia North,145.0,-37.69778,145.08516
Ormond,210.0,-37.9075,145.05329
Ascot Vale,172.0,-37.7778,144.9061
Moonee Ponds,138.0,-37.7659,144.9116
Elwood,75.0,-37.8715,144.9873
Essendon,148.0,-37.75178,144.89876
Thornbury,130.0,-37.7544,144.998
Prahran,114.0,-37.8516,144.9943
Essendon,111.0,-37.7526,144.8911
South Morang,245.0,-37.62287,145.0906
Elwood,111.0,-37.87472,144.98235
Craigieburn,83.0,-37.59392,144.89956
Essendon,218.0,-37.7517,144.9086
Carlton,110.0,-37.7973,144.9712
South Kingsville,129.0,-37.83137,144.86731
Windsor,92.0,-37.8577,145.0002
Yarraville,142.0,-37.8215,144.89614
Taylors Hill,260.0,-37.71152,144.75283
Keilor East,133.0,-37.7415,144.8668
Brighton,281.0,-37.9237,145.0056
Ascot Vale,160.0,-37.7744,144.9035
Ormond,36.0,-37.9028,145.0426
Moonee Ponds,215.0,-37.76393,144.90839
Ormond,235.0,-37.9062,145.0263
Altona,180.0,-37.86027,144.82073
Altona North,157.0,-37.8277,144.8385
Bentleigh,115.0,-37.9296,145.0498
Ivanhoe,120.0,-37.76676,145.04333
Hawthorn East,69.0,-37.8227,145.0528
Moorabbin,104.0,-37.9409,145.0602
Preston,129.0,-37.74244,145.02006
Maidstone,79.0,-37.7895,144.8667
Ashwood,183.0,-37.86138,145.09694
Caulfield South,189.0,-37.90116,145.02845
Essendon,277.0,-37.74999,144.89622
Viewbank,202.0,-37.7375,145.0917
Keilor East,147.0,-37.7303,144.8636
Ascot Vale,139.0,-37.7821,144.9055
Carnegie,283.0,-37.89949,145.06272
Richmond,108.0,-37.8129,145.0013
Hughesdale,90.0,-37.8988,145.0781
Gowanbrae,181.0,-37.7031,144.89443
South Melbourne,79.0,-37.839,144.948
Maribyrnong,174.0,-37.77961,144.88587
Pascoe Vale,105.0,-37.7249,144.9474
Footscray,110.0,-37.7977,144.90398
Northcote,80.0,-37.76627,144.99345
McKinnon,165.0,-37.90718,145.03193
Hoppers Crossing,217.0,-37.8707,144.6813
Pascoe Vale,146.0,-37.7174,144.941
Clayton,117.0,-37.91883,145.11209
Clayton,103.0,-37.91712,145.13625
Malvern East,114.0,-37.8814,145.0583
Mount Waverley,179.0,-37.86445,145.12538
Kingsville,118.0,-37.80774,144.88251
Heidelberg Heights,200.0,-37.7425,145.05316
Brunswick,187.0,-37.76296,144.97239
Balwyn North,198.0,-37.7839,145.0954
Ashwood,192.0,-37.8629,145.1097
Brunswick,116.0,-37.7669,144.9664
Werribee,0.0,-37.90136,144.66925
Moonee Ponds,82.0,-37.7679,144.9245
Brighton,111.0,-37.9154,145.001
Ashwood,203.0,-37.8647,145.1023
Hadfield,116.0,-37.7094,144.9377
Essendon,217.0,-37.7527,144.8957
South Yarra,72.0,-37.8336,144.9882
Clifton Hill,97.0,-37.7919,144.9884
Sunshine North,133.0,-37.7675,144.8414
Balwyn North,177.0,-37.7846,145.0935
Maribyrnong,207.0,-37.7822,144.8922
Fawkner,91.0,-37.7062,144.9688
Newport,50.0,-37.8413,144.8741
Surrey Hills,145.0,-37.836,145.1046
Croydon,225.0,-37.79587,145.2683
Hawthorn,89.0,-37.8213,145.0224
Caulfield South,272.0,-37.8901,145.0224
Newport,111.0,-37.834,144.8668
Rowville,178.0,-37.94266,145.24662
Taylors Lakes,297.0,-37.69221,144.78209
Heidelberg Heights,123.0,-37.7502,145.0465
Bentleigh East,190.0,-37.9257,145.0735
Heidelberg Heights,130.0,-37.7477,145.0481
Ashwood,80.0,-37.8696,145.0962
Moorabbin,112.0,-37.9404,145.0464
Sunshine,111.0,-37.7807,144.83648
Richmond,77.0,-37.822,145.0104
Sunshine,126.0,-37.7796,144.8455
West Footscray,113.0,-37.8067,144.8761
Kensington,46.0,-37.7886,144.9253
Glen Iris,142.0,-37.8541,145.0544
Mill Park,136.0,-37.6619,145.0738
Burwood East,150.0,-37.8485,145.1492
Armadale,93.0,-37.85137,145.0158
Bulleen,159.0,-37.7724,145.1033
Ascot Vale,166.0,-37.7768,144.9223
Ringwood East,144.0,-37.80369,145.24773
Toorak,131.0,-37.8474,145.0125
Elsternwick,215.0,-37.88983,145.00497
St Albans,95.0,-37.73163,144.80697
Balwyn North,167.0,-37.7966,145.1021
Yarraville,120.0,-37.8175,144.8964
Elwood,73.0,-37.88374,144.98518
Richmond,72.0,-37.8251,145.0063
Balwyn North,254.0,-37.8025,145.0843
Aspendale,154.0,-38.01596,145.09932
Hoppers Crossing,134.0,-37.87517,144.67094
Collingwood,2.0,-37.8046,144.9858
Port Melbourne,280.0,-37.8381,144.9391
Dandenong,145.0,-37.98997,145.2254
Airport West,100.0,-37.7187,144.8765
South Yarra,133.0,-37.84018,145.00265
Sunshine North,295.0,-37.7743,144.8425
Surrey Hills,144.0,-37.82091,145.09543
Brunswick East,96.0,-37.7786,144.9753
Balwyn,92.0,-37.8092,145.0789
Yarraville,121.0,-37.8225,144.8814
Thornbury,149.0,-37.7604,145.021
Wheelers Hill,187.0,-37.9117,145.20107
Maidstone,151.0,-37.78133,144.86768
Cremorne,147.0,-37.8298,144.9923
Roxburgh Park,134.0,-37.62191,144.92158
Armadale,116.0,-37.8592,145.0182
Glenroy,150.0,-37.7006,144.9299
South Yarra,92.0,-37.8361,144.9966
Avondale Heights,118.0,-37.7677,144.8674
Clifton Hill,85.0,-37.78992,144.99845
South Melbourne,2.0,-37.8353,144.9599
Oak Park,73.0,-37.72048,144.91323
Altona,65.0,-37.8678,144.8384
Clifton Hill,107.0,-37.7892,144.9999
Hoppers Crossing,182.0,-37.86782,144.6696
Hawthorn East,72.0,-37.83012,145.04751
Braybrook,124.0,-37.7851,144.8517
Templestowe Lower,120.0,-37.7681,145.1092
Brunswick,93.0,-37.7713,144.9643
East Melbourne,65.0,-37.8153,144.9842
Preston,140.0,-37.7506,144.9847
Glen Iris,216.0,-37.85223,145.09132
Port Melbourne,60.0,-37.8416,144.939
Beaumaris,186.0,-37.98316,145.02748
Maidstone,153.0,-37.78284,144.88098
Richmond,180.0,-37.8158,144.9931
Preston,102.0,-37.7384,145.0058
Doncaster East,108.0,-37.7805,145.16319
Oak Park,165.0,-37.718,144.9124
Templestowe,265.0,-37.7664,145.16331
Oakleigh,175.0,-37.9073,145.0962
Cheltenham,123.0,-37.9685,145.07538
Brunswick West,62.0,-37.7688,144.9421
Burwood,92.0,-37.8505,145.1065
Rowville,236.0,-37.9046,145.2684
Heathmont,180.0,-37.82734,145.24487
Hoppers Crossing,112.0,-37.8666,144.6904
Huntingdale,87.0,-37.90415,145.10504
South Melbourne,93.0,-37.83591,144.94963
Gowanbrae,213.0,-37.7016,144.8974
Fitzroy,105.0,-37.7966,144.9821
Hillside,118.0,-37.70388,144.75259
Moonee Ponds,142.0,-37.7704,144.9292
Balwyn North,127.0,-37.79495,145.08192
Abbotsford,98.0,-37.8052,144.9963
Balwyn North,147.0,-37.7938,145.0838
Kingsbury,150.0,-37.7157,145.0386
Hadfield,98.0,-37.7153,144.9507
Kensington,138.0,-37.79611,144.93305
Oakleigh,76.0,-37.89721,145.09792
Elwood,76.0,-37.88349,144.98699
Epping,133.0,-37.64294,145.02765
Yallambie,115.0,-37.7306,145.0854
Burnside Heights,165.0,-37.7366,144.7492
Elwood,75.0,-37.8842,144.9829
Airport West,163.0,-37.72812,144.88735
Bentleigh East,197.0,-37.91068,145.06802
Yarraville,103.0,-37.8181,144.89351
Coburg,165.0,-37.74892,144.95759
Bulleen,96.0,-37.7711,145.0928
Williamstown,241.0,-37.8618,144.87855
Sunshine West,121.0,-37.789,144.8195
Thornbury,92.0,-37.75582,144.98951
Spotswood,115.0,-37.8312,144.8893
Richmond,70.0,-37.8333,144.998
Plumpton,178.0,-37.71429,144.72492
Bentleigh,116.0,-37.9199,145.0477
Kensington,105.7,-37.7902,144.93192
Coburg,172.0,-37.7401,144.96505
Pascoe Vale,159.0,-37.7194,144.9307
Oakleigh,199.0,-37.91,145.096
Fawkner,194.0,-37.71729,144.96403
Wantirna South,124.0,-37.8674,145.2241
West Footscray,101.0,-37.8009,144.8653
Surrey Hills,80.0,-37.8159,145.091
Hawthorn,109.5,-37.81442,145.01531
Albion,110.0,-37.7842,144.8175
Kensington,135.0,-37.7923,144.9324
Bentleigh,107.0,-37.9259,145.0341
Doncaster East,235.0,-37.79545,145.15372
Moonee Ponds,246.0,-37.7615,144.9094
Truganina,138.0,-37.84169,144.72333
Keilor East,104.0,-37.7441,144.8503
Newport,103.0,-37.83529,144.87893
Heidelberg,140.0,-37.7494,145.0703
Dingley Village,153.0,-37.97545,145.12054
Clifton Hill,50.0,-37.7875,145.0049
Mount Waverley,171.0,-37.8861,145.1379
South Melbourne,105.0,-37.8365,144.9497
Coburg,97.0,-37.73936,144.96454
Pascoe Vale,108.0,-37.7211,144.9508
Keilor Downs,223.0,-37.72649,144.80992
Northcote,115.0,-37.7668,145.0063
Clifton Hill,96.0,-37.79379,144.98809
Ascot Vale,155.0,-37.7756,144.9148
Altona,141.0,-37.868,144.8286
Parkdale,197.0,-37.99544,145.08727
Middle Park,58.0,-37.8474,144.9625
Surrey Hills,239.0,-37.8345,145.095
Tullamarine,102.0,-37.69423,144.88002
Spotswood,158.0,-37.8284,144.8861
Beaumaris,180.0,-37.9792,145.035
Thornbury,40.0,-37.7544,145.0092
Flemington,62.0,-37.7826,144.9311
Brighton,143.0,-37.8916,145.0017
Newport,95.0,-37.8501,144.8931
Seddon,198.0,-37.809,144.8865
Werribee,195.0,-37.90188,144.65138
Jacana,110.0,-37.6866,144.9086
Hillside,213.0,-37.68455,144.73272
Footscray,130.0,-37.7943,144.8875
Wheelers Hill,293.0,-37.89304,145.18475
Dallas,92.0,-37.67254,144.94204
Toorak,107.0,-37.8371,145.012
Yarraville,92.0,-37.8161,144.8967
Nunawading,131.0,-37.81223,145.17926
Brunswick,119.0,-37.7649,144.9641
Avondale Heights,153.0,-37.7593,144.871
Strathmore,295.0,-37.73849,144.92661
Albion,164.0,-37.77792,144.81678
Blackburn,156.0,-37.8259,145.1549
Fitzroy,67.0,-37.79617,144.97982
Oak Park,115.0,-37.71433,144.90616
Glenroy,258.0,-37.6969,144.9334
Pascoe Vale,168.0,-37.7182,144.9405
Newport,151.0,-37.839,144.8854
Point Cook,219.0,-37.88177,144.74221
Clifton Hill,96.0,-37.7918,144.997
Preston,97.0,-37.738,145.0064
Newport,198.0,-37.8477,144.8706
Brunswick East,65.0,-37.7668,144.9765
Albion,111.0,-37.7812,144.8121
Glen Waverley,120.0,-37.89919,145.14856
Bentleigh East,120.0,-37.9229,145.0557
Essendon,66.0,-37.7554,144.9127
Coburg,98.0,-37.74671,144.95142
Yarraville,150.0,-37.8122,144.8965
Hawthorn East,169.0,-37.8302,145.0525
Lalor,100.0,-37.66612,145.0008
Preston,96.0,-37.75277,145.00734
Ferntree Gully,162.0,-37.87768,145.25918
Glen Iris,143.0,-37.86019,145.08823
Mont Albert,152.0,-37.8192,145.111
Brunswick,87.0,-37.7611,144.966
Prahran,163.0,-37.8553,145.007
Preston,110.0,-37.74542,145.00086
Kensington,101.0,-37.7918,144.9264
Chadstone,137.0,-37.8781,145.0955
Blackburn,270.0,-37.82665,145.1518
Brunswick West,60.0,-37.75948,144.94758
Preston,143.0,-37.7392,145.0163
Preston,123.0,-37.7507,144.9921
South Morang,118.0,-37.64027,145.08745
Kew East,170.0,-37.79032,145.05408
Murrumbeena,77.0,-37.8999,145.0643
Elwood,18.0,-37.8768,144.9845
Heidelberg Heights,84.0,-37.7418,145.0513
Brooklyn,66.0,-37.82212,144.84477
Box Hill,77.0,-37.8179,145.1341
Burwood East,162.0,-37.84767,145.15369
Preston,118.0,-37.736,145.0033
Hillside,191.0,-37.69618,144.74584
Newport,120.0,-37.83491,144.86864
Hughesdale,70.0,-37.89369,145.08354
Pascoe Vale,149.0,-37.72882,144.93301
Brunswick East,89.0,-37.75995,144.97413
Rosanna,51.0,-37.7352,145.0713
Cremorne,113.0,-37.82795,144.99565
Elwood,138.0,-37.8772,144.9904
Highett,137.0,-37.94938,145.03099
Maribyrnong,146.0,-37.78045,144.88521
Epping,115.0,-37.64763,145.04872
Ascot Vale,274.0,-37.7822,144.9065
Newport,160.0,-37.84373,144.88604
Bundoora,101.0,-37.70602,145.05945
St Albans,131.0,-37.73118,144.8027
Mulgrave,122.0,-37.9226,145.16512
Elsternwick,69.0,-37.88533,145.01049
Wantirna,264.0,-37.85143,145.23157
Hawthorn,116.65,-37.81813,145.02295
Camberwell,189.0,-37.84406,145.09005
North Melbourne,54.0,-37.7955,144.9492
Malvern,185.0,-37.8638,145.0298
Coburg,143.0,-37.74482,144.97499
Albion,127.0,-37.77976,144.81559
South Melbourne,117.0,-37.8365,144.9631
Hillside,221.0,-37.68104,144.74608
Dingley Village,122.0,-37.986,145.12035
Hughesdale,154.0,-37.8937,145.0779
Kew,242.0,-37.8098,145.022
Epping,0.0,-37.64972,145.04086
West Footscray,56.0,-37.7964,144.8672
South Yarra,79.0,-37.8342,144.9842
Craigieburn,97.0,-37.59627,144.91243
Brighton,111.0,-37.9174,144.9895
Glen Waverley,160.0,-37.88638,145.16745
Viewbank,138.0,-37.7396,145.0885
Doncaster,170.0,-37.782,145.1194
South Morang,147.0,-37.63693,145.06482
Rosanna,142.0,-37.7388,145.0742
North Melbourne,147.0,-37.79074,144.94324
Prahran,122.0,-37.8572,145.0066
South Melbourne,220.0,-37.8357,144.9502
Gowanbrae,138.0,-37.7087,144.8962
Brunswick East,124.0,-37.7667,144.9821
Airport West,145.0,-37.7203,144.8755
Richmond,1.0,-37.8214,144.9896
Elwood,69.0,-37.8828,144.9899
Mount Waverley,249.0,-37.87833,145.13731
Heidelberg Heights,101.0,-37.7416,145.0481
Northcote,97.0,-37.7654,145.0112
Carnegie,101.0,-37.88592,145.04781
Brighton,189.0,-37.901,145.0026
Heidelberg,125.0,-37.7502,145.0718
Bentleigh East,94.0,-37.9178,145.067
Collingwood,80.0,-37.7953,144.9882
St Kilda,55.0,-37.8717,144.9829
Newport,110.0,-37.84089,144.86617
Templestowe,185.0,-37.75592,145.16605
Forest Hill,194.0,-37.85156,145.16923
Essendon,106.0,-37.7479,144.8931
Balwyn North,140.0,-37.79238,145.07841
Oakleigh South,120.0,-37.93409,145.08383
Port Melbourne,160.0,-37.833,144.9381
Seddon,104.0,-37.8037,144.8874
Dallas,97.0,-37.66709,144.94332
Elwood,70.0,-37.8817,144.984
Jacana,124.0,-37.68946,144.9099
Keilor East,233.0,-37.74794,144.87634
Ardeer,197.0,-37.7753,144.7994
Ivanhoe,217.0,-37.76432,145.04201
Doncaster,215.0,-37.78109,145.13745
Ashburton,139.0,-37.8653,145.0897
Brunswick,207.0,-37.7725,144.964
Brunswick West,101.0,-37.764,144.9428
Spotswood,108.0,-37.82715,144.87513
Burnley,102.0,-37.8289,145.0089
Coburg,160.0,-37.75485,144.9684
Sunshine West,114.0,-37.8018,144.8246
Blackburn,230.0,-37.83135,145.15811
Mill Park,164.0,-37.66275,145.06786
Brighton East,118.0,-37.9295,145.0144
Bentleigh,103.0,-37.9243,145.0376
Pascoe Vale,107.0,-37.7212,144.9326
Mill Park,196.0,-37.6764,145.05085
Mulgrave,168.0,-37.9128,145.16152
St Kilda,200.0,-37.8584,144.9802
Collingwood,129.0,-37.8042,144.9845
Brighton,74.0,-37.9122,145.0038
Richmond,170.0,-37.8122,144.9937
South Yarra,70.0,-37.837,144.9907
Camberwell,164.0,-37.8457,145.0611
Epping,180.0,-37.62918,145.00855
North Melbourne,120.0,-37.8016,144.9508
Surrey Hills,231.0,-37.8352,145.1023
South Yarra,148.0,-37.8334,144.9867
Niddrie,207.0,-37.7431,144.88722
Airport West,90.0,-37.7216,144.871
Brunswick West,98.0,-37.7604,144.9488
Blackburn North,184.0,-37.80394,145.16754
Sunshine,169.0,-37.78,144.8394
Glenroy,140.0,-37.70994,144.90987
Hadfield,142.0,-37.7107,144.9419
Armadale,48.0,-37.8531,145.0115
Surrey Hills,143.0,-37.8224,145.0959
Brunswick West,59.0,-37.7711,144.9487
Balwyn North,160.0,-37.80088,145.066
Kew,251.0,-37.8147,145.0438
Aberfeldie,240.0,-37.762,144.8916
Wantirna South,173.0,-37.85728,145.24839
Elsternwick,92.0,-37.88295,145.00083
Toorak,64.0,-37.83732,145.01164
Doncaster,230.0,-37.78,145.1425
Jacana,88.0,-37.6909,144.9136
Armadale,121.0,-37.8545,145.0145
Port Melbourne,160.0,-37.8363,144.9336
Viewbank,135.0,-37.7376,145.0895
Middle Park,128.0,-37.85356,144.96415
Glenroy,192.0,-37.7111,144.9275
Camberwell,130.0,-37.8454,145.0707
Richmond,75.0,-37.8189,145.0131
Ascot Vale,104.0,-37.777,144.9176
Brighton East,57.0,-37.9164,145.0228
Coburg,140.0,-37.7493,144.9559
Seddon,211.0,-37.80828,144.8856
Greensborough,211.0,-37.6929,145.1272
South Yarra,50.0,-37.8446,145.00018
Fawkner,84.0,-37.70982,144.96397
Southbank,75.0,-37.8288,144.9679
Bulleen,180.0,-37.7608,145.0862
Heidelberg,159.0,-37.7507,145.062
Bentleigh East,156.0,-37.9176,145.0566
Viewbank,137.0,-37.7343,145.0837
Glen Huntly,176.0,-37.8904,145.0387
Malvern East,147.0,-37.8722,145.067
Camberwell,129.0,-37.84184,145.06585
Northcote,118.0,-37.7696,145.0003
Northcote,124.0,-37.771,144.9974
Bentleigh East,129.0,-37.90984,145.08001
Mill Park,150.0,-37.6576,145.05373
Heathmont,186.0,-37.83465,145.24245
Northcote,174.0,-37.7752,145.0032
Parkdale,210.0,-37.99017,145.07854
Brunswick,106.0,-37.77539,144.95576
Heidelberg Heights,87.0,-37.7416,145.0567
Ascot Vale,102.0,-37.77552,144.92022
Kensington,101.0,-37.791,144.9323
Bentleigh East,190.0,-37.9333,145.0602
Melbourne,113.0,-37.81317,144.95452
Elwood,39.5,-37.8749,144.9799
Malvern East,145.0,-37.87252,145.051
South Melbourne,104.0,-37.8374,144.9495
Gowanbrae,172.0,-37.70202,144.89983
Jacana,121.0,-37.6885,144.9092
Carnegie,115.0,-37.89178,145.0539
Preston,150.0,-37.7369,145.0201
Elsternwick,112.0,-37.8847,144.9992
Aberfeldie,35.0,-37.7614,144.8953
Prahran,139.0,-37.8519,145.0055
Brunswick East,190.0,-37.77289,144.97503
Sunshine,78.0,-37.7987,144.8264
Maidstone,91.0,-37.7838,144.8724
Chadstone,124.0,-37.8755,145.0954
Malvern,80.0,-37.8633,145.0338
Fairfield,145.0,-37.7735,145.0192
Middle Park,67.0,-37.8556,144.9669
St Kilda,72.0,-37.8594,144.9828
Templestowe Lower,250.0,-37.76985,145.11006
Newport,101.0,-37.8368,144.8768
Newport,153.0,-37.8427,144.879
South Yarra,162.0,-37.83998,144.98877
Hampton East,154.0,-37.9405,145.0346
Kingsville,114.0,-37.8123,144.8805
Bentleigh,135.0,-37.9279,145.031
Brunswick West,87.0,-37.7619,144.9412
West Melbourne,62.0,-37.8076,144.9456
Brunswick West,139.0,-37.7585,144.9504
Essendon,98.0,-37.7454,144.8987
Sandringham,67.0,-37.95236,145.00737
Surrey Hills,198.0,-37.8337,145.1118
Mont Albert,240.0,-37.81631,145.10313
Aspendale Gardens,104.0,-38.01663,145.11742
Albanvale,120.0,-37.74965,144.77009
Boronia,180.0,-37.87393,145.28858
Croydon,89.0,-37.81139,145.27414
Flemington,78.0,-37.7839,144.9343
Mentone,141.0,-37.97889,145.0745
Avondale Heights,133.0,-37.76132,144.85619
Elsternwick,76.0,-37.8817,145.0032
Hawthorn,52.0,-37.8261,145.0269
Glenroy,3.0,-37.702,144.9507
Essendon,168.0,-37.74588,144.927
Doncaster,175.0,-37.7881,145.1371
Hadfield,113.0,-37.70328,144.94161
Watsonia,100.0,-37.7148,145.0851
Preston,120.0,-37.74946,145.00875
Brunswick,70.0,-37.75715,144.96824
Blackburn,194.0,-37.81231,145.1642
Coburg,95.0,-37.7516,144.9623
Thornbury,133.0,-37.7583,145.0025
Forest Hill,116.4,-37.84207,145.17795
Kensington,95.0,-37.7891,144.926
Maidstone,161.0,-37.7773,144.8725
Yarraville,120.0,-37.8186,144.8736
Brighton East,151.0,-37.9057,145.0166
Kew,153.0,-37.8052,145.0489
Keilor East,116.0,-37.7514,144.8731
Chadstone,131.0,-37.88658,145.09297
Bentleigh East,122.0,-37.9159,145.0787
Malvern East,74.0,-37.8811,145.0524
Williamstown,78.54,-37.86682,144.90003
Wantirna South,255.0,-37.87846,145.24212
Heidelberg Heights,92.5,-37.73752,145.05228
Nunawading,84.0,-37.8231,145.17911
Avondale Heights,103.0,-37.7607,144.8581
Greensborough,200.0,-37.68569,145.10902
Pascoe Vale,141.0,-37.7231,144.9482
Surrey Hills,286.0,-37.83583,145.10664
Essendon,156.0,-37.75582,144.91061
Newport,79.0,-37.84836,144.87408
Caulfield North,103.0,-37.86906,145.01986
Altona North,115.0,-37.83748,144.84446
Moorabbin,143.0,-37.9376,145.0474
Malvern East,172.0,-37.87939,145.0656
Murrumbeena,181.0,-37.89074,145.07638
Clayton,130.0,-37.92374,145.13222
Aspendale,122.0,-38.01646,145.09967
Newport,84.0,-37.847,144.8734
St Kilda,61.0,-37.8596,144.9889
Ardeer,108.0,-37.78127,144.79761
Pascoe Vale,104.0,-37.7286,144.9456
Elwood,37.0,-37.8839,144.9903
Bulleen,206.0,-37.77716,145.09366
Carnegie,75.0,-37.8936,145.056
Fairfield,150.0,-37.783,145.0165
Maidstone,118.0,-37.7862,144.8798
Maidstone,131.0,-37.78606,144.87205
Bentleigh East,154.0,-37.91506,145.07121
Kensington,90.0,-37.7925,144.9315
Ivanhoe,185.0,-37.7671,145.037
Ascot Vale,128.0,-37.775,144.9091
Keilor East,127.0,-37.7301,144.8671
Brunswick,174.0,-37.77081,144.96318
Oakleigh South,62.0,-37.91061,145.0862
Hoppers Crossing,112.0,-37.87401,144.69803
Essendon,284.0,-37.7548,144.9098
Lalor,140.0,-37.6591,145.00549
Coburg,101.0,-37.7508,144.9608
Windsor,147.0,-37.8556,144.995
Thornbury,133.0,-37.7587,144.9881
Richmond,110.0,-37.8238,145.0072
Strathmore,161.0,-37.72996,144.91949
Jacana,92.0,-37.68306,144.90928
Carnegie,60.0,-37.8986,145.0567
Elwood,42.0,-37.8784,144.9864
Avondale Heights,150.0,-37.7593,144.8561
Bentleigh East,243.0,-37.91865,145.05418
Preston,92.0,-37.7512,145.017
Fawkner,107.0,-37.7092,144.9695
Deer Park,125.0,-37.7687,144.75833
Glen Iris,77.0,-37.85145,145.09107
Windsor,51.0,-37.85687,144.99748
